+-----------------------------------------------------------------+---------+
| plugin                                                          | CountOf |
| [slack]                                                         |       3 |
| [reuters-direct]                                                |       3 |
| [thumbnail-upscale]                                             |       3 |
| [second-street-promotion]                                       |       3 |
| [image-caption-hover]                                           |       3 |
| [remove-widget-titles]                                          |       3 |
| [sf-move-login]                                                 |       3 |
| [sharify]                                                       |       3 |
| [secure-admin-ip]                                               |       3 |
| [simple-timed-plugin]                                           |       3 |
| [single-post-template]                                          |       3 |
| [login-lockdown]                                                |       3 |
| [staff-directory]                                               |       3 |
| [sticky-header-effects-for-elementor]                           |       3 |
| [simple-embed-code]                                             |       3 |
| [tabby-responsive-tabs]                                         |       3 |
| [taboola]                                                       |       3 |
| [tabs-responsive]                                               |       3 |
| [the-countdown]                                                 |       3 |
| [the-events-calendar-shortcode]                                 |       3 |
| [wp-custom-post-rss-feed]                                       |       3 |
| [tinymce-spellcheck]                                            |       3 |
| [tinymce-templates]                                             |       3 |
| [wp-saml-auth]                                                  |       3 |
| [user-last-login]                                               |       3 |
| [happy-elementor-addons]                                        |       3 |
| [wc-custom-add-to-cart-labels]                                  |       3 |
| [wcp-openweather]                                               |       3 |
| [widget-css-classes]                                            |       3 |
| [woo-checkout-field-editor-pro]                                 |       3 |
| [woobox]                                                        |       3 |
| [woocommerce-paypal-payments]                                   |       3 |
| [woocommerce-product-search]                                    |       3 |
| [wordpress-mu-domain-mapping]                                   |       3 |
| [wordpress-social-login]                                        |       3 |
| [wp-nested-pages]                                               |       3 |
| [wp-display-header]                                             |       3 |
| [wp-extended-search]                                            |       3 |
| [wp-facebook-feed]                                              |       3 |
| [wordpress-popular-posts]                                       |       3 |
| [wp-forecast]                                                   |       3 |
| [wp-gallery-custom-links]                                       |       3 |
| [wp-limit-login-attempts]                                       |       3 |
| [wp-limit-posts-automatically]                                  |       3 |
| [wp-missed-schedule]                                            |       3 |
| [wp-open-graph]                                                 |       3 |
| [prevent-xss-vulnerability]                                     |       3 |
| [wp-rtl]                                                        |       3 |
| [wp-smtp]                                                       |       3 |
| [wpsitesynccontent]                                             |       3 |
| [wp-piwik]                                                      |       3 |
| [wp-super-cache-clear-cache-menu]                               |       3 |
| [wunderground]                                                  |       3 |
| [yotuwp-easy-youtube-embed]                                     |       3 |
| [youtube-channel-gallery]                                       |       3 |
| [wp-rest-cache]                                                 |       3 |
| [wordfence-login-security]                                      |       3 |
